filename,microscope,cell_line,culture_medium,formation_method,seeding_density,timepoint,biological_rep,technical_rep,magnification,full_path,mask_path,timepoint_hour,seeding_density_num,area,perimeter,eccentricity,solidity,extent,equivalent_diameter,major_axis_length,minor_axis_length,circularity
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,082h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T5_10X.tiff,82,3000,286506.0,2125.322076663197,0.463532539920878,0.9781733635143856,0.7524700988039521,603.9791130526721,642.3808299803429,569.2007398692743,0.7970656227104345
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,146h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T5_10X.tiff,146,3000,327140.0,2332.393144475063,0.3892477874965319,0.9679156409770877,0.7804210084354365,645.3894829207098,673.9173690239205,620.7675850351169,0.7556836064493998
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_090h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,090h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_090h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_090h_B1_T5_10X.tiff,90,3000,302527.0,2231.470308941338,0.48755009663253257,0.9731123305649017,0.7604543717824968,620.6362378640927,664.8138216093763,580.445632810029,0.7634696536555177
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,134h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T5_10X.tiff,134,3000,336249.0,2276.51803615609,0.4155496132682504,0.9770561827136818,0.7626769188894937,654.3130165888905,686.6649843993657,624.570222418797,0.8153210865379463
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,338h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T5_10X.tiff,338,3000,386016.0,2507.2703448350876,0.24826034170286174,0.9691856917966603,0.7595749704840614,701.0640741761687,713.2857428826597,690.9551544560694,0.7716366415379785
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,218h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T5_10X.tiff,218,3000,345951.0,2373.020561473032,0.29627909034098077,0.9741860452018766,0.7607665918986674,663.6855382940586,679.844190849681,649.3201442795237,0.7720073796806752
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_094h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,094h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_094h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_094h_B1_T5_10X.tiff,94,3000,297480.0,2198.13325984524,0.4374464501505125,0.9737798291269764,0.7522455089820359,615.4374864824341,649.7504202922233,584.2844674236879,0.7736768492427635
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_086h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,086h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_086h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_086h_B1_T5_10X.tiff,86,3000,295928.0,2174.570814004726,0.4643449336865567,0.9745854534077624,0.7628189926277259,613.8299699382454,653.0190562127617,578.3492248686217,0.7864096124455141
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,110h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T5_10X.tiff,110,3000,306323.0,2192.6530291048853,0.4154239416639269,0.9767672483889174,0.7624527080844286,624.5178596820984,655.4305950508275,596.1979673849058,0.8006627873556965
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_098h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,098h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_098h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_098h_B1_T5_10X.tiff,98,3000,303826.0,2206.3342699720165,0.4300352503815209,0.9759972759221068,0.7573459762894719,621.9672643465294,655.0588885786987,591.3950891971599,0.7843179935290363
